exp_moment,animal_ID,model,hpo_config,pretrain_type,n_pretrain_sessions,repeat_idx,total_reward,n_actions,seed,timestamp
251128-125956,031,DQN,default,none,0,1,124.0,271,43,2026-03-16T17:26:19.969529
251128-125956,031,DQN,default,prior_sessions_same_maze,6,1,140.0,271,43,2026-03-16T17:26:20.957642
251128-125956,031,DQN,default,none,0,2,31.0,271,44,2026-03-16T17:26:21.177025
251128-125956,031,DQN,default,prior_sessions_same_maze,6,2,199.0,271,44,2026-03-16T17:26:22.155963
251128-125956,031,DQN,default,none,0,3,78.0,271,45,2026-03-16T17:26:22.419214
251128-125956,031,DQN,default,prior_sessions_same_maze,6,3,228.0,271,45,2026-03-16T17:26:23.441120
251128-125956,031,DQN,default,none,0,4,105.0,271,46,2026-03-16T17:26:23.653844
251128-125956,031,DQN,default,prior_sessions_same_maze,6,4,217.0,271,46,2026-03-16T17:26:24.599276
251127-113857,031,DQN,default,none,0,0,18.0,140,42,2026-03-16T17:26:24.740754
251127-113857,031,DQN,default,prior_sessions_same_maze,5,0,40.0,140,42,2026-03-16T17:26:25.561853
251127-113857,031,DQN,default,none,0,1,40.0,140,43,2026-03-16T17:26:25.746259
251127-113857,031,DQN,default,prior_sessions_same_maze,5,1,45.0,140,43,2026-03-16T17:26:26.631292
251127-113857,031,DQN,default,none,0,2,14.0,140,44,2026-03-16T17:26:26.774461
251127-113857,031,DQN,default,prior_sessions_same_maze,5,2,116.0,140,44,2026-03-16T17:26:27.642075
251127-113857,031,DQN,default,none,0,3,18.0,140,45,2026-03-16T17:26:27.844626
251127-113857,031,DQN,default,prior_sessions_same_maze,5,3,111.0,140,45,2026-03-16T17:26:28.731528
251127-113857,031,DQN,default,none,0,4,37.0,140,46,2026-03-16T17:26:28.883316
251127-113857,031,DQN,default,prior_sessions_same_maze,5,4,125.0,140,46,2026-03-16T17:26:29.731190
251126-135239,031,DQN,default,none,0,0,45.0,317,42,2026-03-16T17:26:29.952640
251126-135239,031,DQN,default,prior_sessions_same_maze,4,0,70.0,317,42,2026-03-16T17:26:30.707833
251126-135239,031,DQN,default,none,0,1,146.0,317,43,2026-03-16T17:26:30.970535
251126-135239,031,DQN,default,prior_sessions_same_maze,4,1,152.0,317,43,2026-03-16T17:26:31.772770
251126-135239,031,DQN,default,none,0,2,55.0,317,44,2026-03-16T17:26:32.033239
251126-135239,031,DQN,default,prior_sessions_same_maze,4,2,204.0,317,44,2026-03-16T17:26:32.802634
251126-135239,031,DQN,default,none,0,3,78.0,317,45,2026-03-16T17:26:33.075241
251126-135239,031,DQN,default,prior_sessions_same_maze,4,3,258.0,317,45,2026-03-16T17:26:33.909429
251126-135239,031,DQN,default,none,0,4,141.0,317,46,2026-03-16T17:26:34.167028
251126-135239,031,DQN,default,prior_sessions_same_maze,4,4,276.0,317,46,2026-03-16T17:26:34.929303
251125-162636,031,DQN,default,none,0,0,51.0,327,42,2026-03-16T17:26:35.159867
251125-162636,031,DQN,default,prior_sessions_same_maze,3,0,77.0,327,42,2026-03-16T17:26:35.775638
251125-162636,031,DQN,default,none,0,1,154.0,327,43,2026-03-16T17:26:36.060999
251125-162636,031,DQN,default,prior_sessions_same_maze,3,1,182.0,327,43,2026-03-16T17:26:36.741078
251125-162636,031,DQN,default,none,0,2,55.0,327,44,2026-03-16T17:26:37.011943
251125-162636,031,DQN,default,prior_sessions_same_maze,3,2,103.0,327,44,2026-03-16T17:26:37.656846
251125-162636,031,DQN,default,none,0,3,78.0,327,45,2026-03-16T17:26:37.938119
251125-162636,031,DQN,default,prior_sessions_same_maze,3,3,270.0,327,45,2026-03-16T17:26:38.616638
251125-162636,031,DQN,default,none,0,4,151.0,327,46,2026-03-16T17:26:38.869588
251125-162636,031,DQN,default,prior_sessions_same_maze,3,4,253.0,327,46,2026-03-16T17:26:39.524069
251124-164313,031,DQN,default,none,0,0,41.0,306,42,2026-03-16T17:26:39.739162
251124-164313,031,DQN,default,prior_sessions_same_maze,2,0,126.0,306,42,2026-03-16T17:26:40.213022
251124-164313,031,DQN,default,none,0,1,140.0,306,43,2026-03-16T17:26:40.495880
251124-164313,031,DQN,default,prior_sessions_same_maze,2,1,140.0,306,43,2026-03-16T17:26:40.992430
251124-164313,031,DQN,default,none,0,2,55.0,306,44,2026-03-16T17:26:41.250109
251124-164313,031,DQN,default,prior_sessions_same_maze,2,2,66.0,306,44,2026-03-16T17:26:41.747905
251124-164313,031,DQN,default,none,0,3,78.0,306,45,2026-03-16T17:26:42.024730
251124-164313,031,DQN,default,prior_sessions_same_maze,2,3,268.0,306,45,2026-03-16T17:26:42.548479
251124-164313,031,DQN,default,none,0,4,132.0,306,46,2026-03-16T17:26:42.768787
251124-164313,031,DQN,default,prior_sessions_same_maze,2,4,219.0,306,46,2026-03-16T17:26:43.233249
251123-125720,031,DQN,default,none,0,0,28.0,219,42,2026-03-16T17:26:43.415892
251123-125720,031,DQN,default,prior_sessions_same_maze,1,0,87.0,219,42,2026-03-16T17:26:43.725752
251123-125720,031,DQN,default,none,0,1,86.0,219,43,2026-03-16T17:26:43.961600
251123-125720,031,DQN,default,prior_sessions_same_maze,1,1,125.0,219,43,2026-03-16T17:26:44.324557
251123-125720,031,DQN,default,none,0,2,22.0,219,44,2026-03-16T17:26:44.507737
251123-125720,031,DQN,default,prior_sessions_same_maze,1,2,51.0,219,44,2026-03-16T17:26:44.863622
251123-125720,031,DQN,default,none,0,3,44.0,219,45,2026-03-16T17:26:45.084009
251123-125720,031,DQN,default,prior_sessions_same_maze,1,3,150.0,219,45,2026-03-16T17:26:45.462100
