exp_moment,animal_ID,model,history_len,config_name,repeat_idx,total_reward,n_actions,timestamp,seed,hpo_config
251104-230415,033,A2C,0,ego,0,22.0,87,2026-03-17T02:51:22.617580,60791,default
251104-230415,033,A2C,0,ego,1,20.0,87,2026-03-17T02:51:22.758363,60792,default
251104-230415,033,A2C,0,ego,2,8.0,87,2026-03-17T02:51:22.901438,60793,default
251104-230415,033,A2C,0,ego,3,35.0,87,2026-03-17T02:51:23.036025,60794,default
251104-230415,033,A2C,0,ego,4,20.0,87,2026-03-17T02:51:23.164420,60795,default
260201-212331,033,A2C,0,ego,0,70.0,294,2026-03-17T02:51:23.470260,60791,default
260201-212331,033,A2C,0,ego,1,69.0,294,2026-03-17T02:51:23.776053,60792,default
260201-212331,033,A2C,0,ego,2,64.0,294,2026-03-17T02:51:24.083905,60793,default
260201-212331,033,A2C,0,ego,3,41.0,294,2026-03-17T02:51:24.387288,60794,default
260201-212331,033,A2C,0,ego,4,63.0,294,2026-03-17T02:51:24.667539,60795,default
260202-202543,033,A2C,0,ego,0,64.0,236,2026-03-17T02:51:24.917158,60791,default
260202-202543,033,A2C,0,ego,1,54.0,236,2026-03-17T02:51:25.175745,60792,default
260202-202543,033,A2C,0,ego,2,54.0,236,2026-03-17T02:51:25.426553,60793,default
260202-202543,033,A2C,0,ego,3,41.0,236,2026-03-17T02:51:25.690146,60794,default
260202-202543,033,A2C,0,ego,4,60.0,236,2026-03-17T02:51:25.929874,60795,default
260203-171228,033,A2C,0,ego,0,68.0,255,2026-03-17T02:51:26.205152,60791,default
260203-171228,033,A2C,0,ego,1,61.0,255,2026-03-17T02:51:26.479471,60792,default
260203-171228,033,A2C,0,ego,2,56.0,255,2026-03-17T02:51:26.745565,60793,default
260203-171228,033,A2C,0,ego,3,41.0,255,2026-03-17T02:51:27.019749,60794,default
260203-171228,033,A2C,0,ego,4,63.0,255,2026-03-17T02:51:27.276669,60795,default
260204-193925,033,A2C,0,ego,0,41.0,151,2026-03-17T02:51:27.471108,60791,default
260204-193925,033,A2C,0,ego,1,41.0,151,2026-03-17T02:51:27.658821,60792,default
260204-193925,033,A2C,0,ego,2,41.0,151,2026-03-17T02:51:27.855577,60793,default
260204-193925,033,A2C,0,ego,3,27.0,151,2026-03-17T02:51:28.036228,60794,default
260204-193925,033,A2C,0,ego,4,42.0,151,2026-03-17T02:51:28.210587,60795,default
260205-191855,033,A2C,0,ego,0,41.0,127,2026-03-17T02:51:28.383623,60791,default
260205-191855,033,A2C,0,ego,1,39.0,127,2026-03-17T02:51:28.557548,60792,default
260205-191855,033,A2C,0,ego,2,34.0,127,2026-03-17T02:51:28.733878,60793,default
260205-191855,033,A2C,0,ego,3,27.0,127,2026-03-17T02:51:28.895994,60794,default
260205-191855,033,A2C,0,ego,4,42.0,127,2026-03-17T02:51:29.051691,60795,default
260206-144834,033,A2C,0,ego,0,98.0,518,2026-03-17T02:51:29.519774,60791,default
260206-144834,033,A2C,0,ego,1,89.0,518,2026-03-17T02:51:29.975604,60792,default
260206-144834,033,A2C,0,ego,2,107.0,518,2026-03-17T02:51:30.439116,60793,default
260206-144834,033,A2C,0,ego,3,68.0,518,2026-03-17T02:51:30.897239,60794,default
260206-144834,033,A2C,0,ego,4,103.0,518,2026-03-17T02:51:31.354687,60795,default
260208-145358,033,A2C,0,ego,0,64.0,234,2026-03-17T02:51:31.644595,60791,default
260208-145358,033,A2C,0,ego,1,54.0,234,2026-03-17T02:51:31.944684,60792,default
260208-145358,033,A2C,0,ego,2,54.0,234,2026-03-17T02:51:32.248150,60793,default
260208-145358,033,A2C,0,ego,3,41.0,234,2026-03-17T02:51:32.536729,60794,default
260208-145358,033,A2C,0,ego,4,58.0,234,2026-03-17T02:51:32.815209,60795,default
260209-143612,033,A2C,0,ego,0,62.0,223,2026-03-17T02:51:33.101569,60791,default
260209-143612,033,A2C,0,ego,1,49.0,223,2026-03-17T02:51:33.386705,60792,default
260209-143612,033,A2C,0,ego,2,54.0,223,2026-03-17T02:51:33.669705,60793,default
260209-143612,033,A2C,0,ego,3,41.0,223,2026-03-17T02:51:33.953514,60794,default
260209-143612,033,A2C,0,ego,4,55.0,223,2026-03-17T02:51:34.220473,60795,default
260210-142932,033,A2C,0,ego,0,64.0,236,2026-03-17T02:51:34.517378,60791,default
260210-142932,033,A2C,0,ego,1,54.0,236,2026-03-17T02:51:34.818420,60792,default
260210-142932,033,A2C,0,ego,2,54.0,236,2026-03-17T02:51:35.125787,60793,default
260210-142932,033,A2C,0,ego,3,41.0,236,2026-03-17T02:51:35.420044,60794,default
260210-142932,033,A2C,0,ego,4,60.0,236,2026-03-17T02:51:35.699345,60795,default
260211-143636,033,A2C,0,ego,0,70.0,283,2026-03-17T02:51:36.034449,60791,default
260211-143636,033,A2C,0,ego,1,68.0,283,2026-03-17T02:51:36.367487,60792,default
260211-143636,033,A2C,0,ego,2,60.0,283,2026-03-17T02:51:36.706156,60793,default
