exp_moment,model,seed,total_reward,n_actions,animal_ID
251224-181729,FullFwd,45,13.0,80,031
251224-181729,FullFwd,46,9.0,80,031
251224-181729,NoBkFullFwd,42,60.0,80,031
251224-181729,NoBkFullFwd,43,46.0,80,031
251224-181729,NoBkFullFwd,44,37.0,80,031
251224-181729,NoBkFullFwd,45,39.0,80,031
251224-181729,NoBkFullFwd,46,47.0,80,031
251224-181729,Clone_ego,42,18.0,80,031
251224-181729,Clone_ego,43,7.0,80,031
251224-181729,Clone_ego,44,4.0,80,031
251224-181729,Clone_ego,45,7.0,80,031
251224-181729,Clone_ego,46,49.0,80,031
251224-181729,Clone_allo_real,42,12.0,80,031
251224-181729,Clone_allo_real,43,14.0,80,031
251224-181729,Clone_allo_real,44,27.0,80,031
251224-181729,Clone_allo_real,45,17.0,80,031
251224-181729,Clone_allo_real,46,19.0,80,031
251224-181729,Clone_allo_latent,42,12.0,80,031
251224-181729,Clone_allo_latent,43,14.0,80,031
251224-181729,Clone_allo_latent,44,27.0,80,031
251224-181729,Clone_allo_latent,45,17.0,80,031
251224-181729,Clone_allo_latent,46,19.0,80,031
251222-194856,FullFwd,42,55.0,212,031
251222-194856,FullFwd,43,51.0,212,031
251222-194856,FullFwd,44,42.0,212,031
251222-194856,FullFwd,45,26.0,212,031
251222-194856,FullFwd,46,14.0,212,031
251222-194856,NoBkFullFwd,42,137.0,212,031
251222-194856,NoBkFullFwd,43,105.0,212,031
251222-194856,NoBkFullFwd,44,77.0,212,031
251222-194856,NoBkFullFwd,45,116.0,212,031
251222-194856,NoBkFullFwd,46,123.0,212,031
251222-194856,Clone_ego,42,67.0,212,031
251222-194856,Clone_ego,43,34.0,212,031
251222-194856,Clone_ego,44,60.0,212,031
251222-194856,Clone_ego,45,22.0,212,031
251222-194856,Clone_ego,46,27.0,212,031
251222-194856,Clone_allo_real,42,39.0,212,031
251222-194856,Clone_allo_real,43,23.0,212,031
251222-194856,Clone_allo_real,44,37.0,212,031
251222-194856,Clone_allo_real,45,34.0,212,031
251222-194856,Clone_allo_real,46,35.0,212,031
251222-194856,Clone_allo_latent,42,39.0,212,031
251222-194856,Clone_allo_latent,43,23.0,212,031
251222-194856,Clone_allo_latent,44,39.0,212,031
251222-194856,Clone_allo_latent,45,34.0,212,031
251222-194856,Clone_allo_latent,46,35.0,212,031
251221-193410,FullFwd,42,95.0,529,031
251221-193410,FullFwd,43,70.0,529,031
251221-193410,FullFwd,44,81.0,529,031
251221-193410,FullFwd,45,55.0,529,031
