exp_moment,animal_ID,model,seed,total_reward,n_actions,rpa,elapsed_s,reset_val,n_init_rewards,adj_file,status,timestamp
240307-201718,8,DQN,4,58.0,266,0.21804511278195488,1.06,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:51
240307-221731,4,DQN,2,16.0,202,0.07920792079207921,0.67,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:51
240307-201718,8,DQN,3,20.0,266,0.07518796992481203,1.27,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:51
240307-221731,4,DQN,3,20.0,202,0.09900990099009901,0.89,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:51
240307-221731,4,DQN,4,40.0,202,0.19801980198019803,0.71,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:51
240413-044848,7,DQN,0,16.0,218,0.07339449541284404,0.77,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:51
240413-044848,7,DQN,2,16.0,218,0.07339449541284404,0.71,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:51
240413-044848,7,DQN,1,43.0,218,0.19724770642201836,0.86,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:51
240413-044848,7,DQN,4,44.0,218,0.2018348623853211,0.82,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:51
240413-044848,7,DQN,3,20.0,218,0.09174311926605505,0.98,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:52
240415-115155,7,DQN,0,16.0,390,0.041025641025641026,1.21,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:53
240415-115155,7,DQN,2,37.0,390,0.09487179487179487,1.14,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:53
240415-115155,7,DQN,1,83.0,390,0.2128205128205128,1.27,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:53
240414-160518,7,DQN,0,42.0,726,0.05785123966942149,2.19,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:53
240414-160518,7,DQN,1,84.0,726,0.11570247933884298,2.2,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:53
240414-160518,7,DQN,2,83.0,726,0.11432506887052342,2.1,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:53
240414-160518,7,DQN,4,125.0,726,0.1721763085399449,2.16,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:53
240414-160518,7,DQN,3,77.0,726,0.10606060606060606,2.51,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:54
240416-101226,7,DQN,0,16.0,367,0.043596730245231606,1.21,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:54
240415-115155,7,DQN,4,79.0,390,0.20256410256410257,1.29,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:54
240415-115155,7,DQN,3,20.0,390,0.05128205128205128,1.48,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:54
240416-101226,7,DQN,2,37.0,367,0.1008174386920981,1.15,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:54
240416-101226,7,DQN,1,81.0,367,0.22070844686648503,1.32,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:54
240416-101226,7,DQN,4,70.0,367,0.1907356948228883,1.27,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:55
240416-101226,7,DQN,3,20.0,367,0.05449591280653951,1.49,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:55
240417-140814,7,DQN,0,16.0,446,0.03587443946188341,1.49,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:55
240418-224522,7,DQN,0,16.0,243,0.06584362139917696,0.93,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:55
240417-140814,7,DQN,2,43.0,446,0.09641255605381166,1.49,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:56
240417-140814,7,DQN,1,83.0,446,0.1860986547085202,1.66,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:56
240418-224522,7,DQN,2,16.0,243,0.06584362139917696,0.87,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:56
240418-224522,7,DQN,1,43.0,243,0.17695473251028807,1.07,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:56
240417-140814,7,DQN,4,91.0,446,0.2040358744394619,1.64,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:56
240417-140814,7,DQN,3,20.0,446,0.04484304932735426,1.91,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:56
240418-224522,7,DQN,4,58.0,243,0.23868312757201646,1.03,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:56
240418-224522,7,DQN,3,20.0,243,0.0823045267489712,1.31,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:57
240422-173957,7,DQN,0,16.0,318,0.050314465408805034,1.23,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:57
240422-173957,7,DQN,2,37.0,318,0.11635220125786164,1.0,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:58
240422-173957,7,DQN,1,60.0,318,0.18867924528301888,1.27,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:58
240422-173957,7,DQN,3,20.0,318,0.06289308176100629,1.29,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:59
240422-005057,7,DQN,0,43.0,990,0.043434343434343436,3.04,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:59
240422-005057,7,DQN,1,84.0,990,0.08484848484848485,2.98,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:59
240422-005057,7,DQN,2,100.0,990,0.10101010101010101,2.99,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:59
240422-173957,7,DQN,4,58.0,318,0.18238993710691823,1.13,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:59
240422-005057,7,DQN,3,81.0,990,0.08181818181818182,2.98,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:59
