exp_moment,animal_ID,maze,model,repeat_idx,total_reward,n_actions,mouse_reward,seed,elapsed_s,date_part
251110-231922,033,250311_latMaz103,VarMarkov,4,7.0,23,10,46,0.0433,251110
251109-230458,033,250311_latMaz103,VarMarkov,0,7.0,51,14,42,0.0459,251109
251109-230458,033,250311_latMaz103,VarMarkov,1,14.0,51,14,43,0.0391,251109
251109-230458,033,250311_latMaz103,VarMarkov,2,18.0,51,14,44,0.0372,251109
251109-230458,033,250311_latMaz103,VarMarkov,3,8.0,51,14,45,0.0368,251109
251109-230458,033,250311_latMaz103,VarMarkov,4,7.0,51,14,46,0.0358,251109
251108-230846,033,250311_latMaz101,VarMarkov,0,23.0,128,57,42,0.0374,251108
251108-230846,033,250311_latMaz101,VarMarkov,1,28.0,128,57,43,0.04,251108
251108-230846,033,250311_latMaz101,VarMarkov,2,24.0,128,57,44,0.0381,251108
251108-230846,033,250311_latMaz101,VarMarkov,3,28.0,128,57,45,0.0388,251108
251108-230846,033,250311_latMaz101,VarMarkov,4,14.0,128,57,46,0.0394,251108
251107-230429,033,250311_latMaz101,VarMarkov,0,25.0,146,60,42,0.04,251107
251107-230429,033,250311_latMaz101,VarMarkov,1,28.0,146,60,43,0.0398,251107
251107-230429,033,250311_latMaz101,VarMarkov,2,24.0,146,60,44,0.0434,251107
251107-230429,033,250311_latMaz101,VarMarkov,3,38.0,146,60,45,0.0403,251107
251107-230429,033,250311_latMaz101,VarMarkov,4,14.0,146,60,46,0.0401,251107
251106-230142,033,250311_latMaz100,VarMarkov,0,55.0,285,77,42,0.0415,251106
251106-230142,033,250311_latMaz100,VarMarkov,1,79.0,285,77,43,0.0428,251106
251106-230142,033,250311_latMaz100,VarMarkov,2,67.0,285,77,44,0.0411,251106
251106-230142,033,250311_latMaz100,VarMarkov,3,58.0,285,77,45,0.0409,251106
251106-230142,033,250311_latMaz100,VarMarkov,4,59.0,285,77,46,0.0441,251106
251105-230500,033,250311_latMaz100,VarMarkov,0,38.0,172,80,42,0.0419,251105
251105-230500,033,250311_latMaz100,VarMarkov,1,57.0,172,80,43,0.0409,251105
251105-230500,033,250311_latMaz100,VarMarkov,2,29.0,172,80,44,0.0416,251105
251105-230500,033,250311_latMaz100,VarMarkov,3,38.0,172,80,45,0.0405,251105
251105-230500,033,250311_latMaz100,VarMarkov,4,35.0,172,80,46,0.0404,251105
251104-230415,033,250311_latMaz100,VarMarkov,0,16.0,87,27,42,0.0393,251104
251104-230415,033,250311_latMaz100,VarMarkov,1,23.0,87,27,43,0.038,251104
251104-230415,033,250311_latMaz100,VarMarkov,2,12.0,87,27,44,0.038,251104
251104-230415,033,250311_latMaz100,VarMarkov,3,24.0,87,27,45,0.0362,251104
251104-230415,033,250311_latMaz100,VarMarkov,4,15.0,87,27,46,0.0363,251104
250323-145015,030,250311_latMaz106,VarMarkov,0,103.0,1106,448,42,0.0575,250323
250323-145015,030,250311_latMaz106,VarMarkov,1,115.0,1106,448,43,0.0564,250323
250323-145015,030,250311_latMaz106,VarMarkov,2,112.0,1106,448,44,0.0604,250323
250323-145015,030,250311_latMaz106,VarMarkov,3,46.0,1106,448,45,0.0574,250323
250323-145015,030,250311_latMaz106,VarMarkov,4,127.0,1106,448,46,0.058,250323
250320-160819,030,250311_latMaz107,VarMarkov,0,20.0,284,32,42,0.045,250320
250320-160819,030,250311_latMaz107,VarMarkov,1,29.0,284,32,43,0.041,250320
250320-160819,030,250311_latMaz107,VarMarkov,2,52.0,284,32,44,0.0423,250320
250320-160819,030,250311_latMaz107,VarMarkov,3,16.0,284,32,45,0.0417,250320
250320-160819,030,250311_latMaz107,VarMarkov,4,16.0,284,32,46,0.0425,250320
250319-172702,030,250311_latMaz106,VarMarkov,0,21.0,460,213,42,0.0456,250319
250319-172702,030,250311_latMaz106,VarMarkov,1,109.0,460,213,43,0.0455,250319
250319-172702,030,250311_latMaz106,VarMarkov,2,40.0,460,213,44,0.0473,250319
