exp_moment,animal_ID,model,seed,total_reward,n_actions,rpa,status
260318-204155,033,ConditionalClone_ego,1,16.0,151,0.10596026490066225,ok
260318-204155,033,Random,2,,151,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260318-204155,033,Random_forward,2,,151,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260318-204155,033,Greedy_oracle,2,,151,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260318-204155,033,FullFwd,2,16.0,151,0.10596026490066225,ok
260318-204155,033,NoBkFullFwd,2,16.0,151,0.10596026490066225,ok
260318-204155,033,FSC_bio,2,16.0,151,0.10596026490066225,ok
260318-204155,033,Mouse-bias_ego,2,16.0,151,0.10596026490066225,ok
260318-204155,033,Mouse-bias_allo_real,2,16.0,151,0.10596026490066225,ok
260318-204155,033,Mouse-bias_allo_latent,2,16.0,151,0.10596026490066225,ok
260318-204155,033,ConditionalClone_ego,2,15.0,151,0.09933774834437085,ok
260318-204155,033,Random,3,,151,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260318-204155,033,Random_forward,3,,151,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260318-204155,033,Greedy_oracle,3,,151,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260318-204155,033,FullFwd,3,15.0,151,0.09933774834437085,ok
260318-204155,033,NoBkFullFwd,3,16.0,151,0.10596026490066225,ok
260318-204155,033,FSC_bio,3,16.0,151,0.10596026490066225,ok
260318-204155,033,Mouse-bias_ego,3,16.0,151,0.10596026490066225,ok
260318-204155,033,Mouse-bias_allo_real,3,16.0,151,0.10596026490066225,ok
260318-204155,033,Mouse-bias_allo_latent,3,16.0,151,0.10596026490066225,ok
260318-204155,033,ConditionalClone_ego,3,16.0,151,0.10596026490066225,ok
260318-204155,033,Random,4,,151,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260318-204155,033,Random_forward,4,,151,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260318-204155,033,Greedy_oracle,4,,151,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260318-204155,033,FullFwd,4,16.0,151,0.10596026490066225,ok
260318-204155,033,NoBkFullFwd,4,16.0,151,0.10596026490066225,ok
260318-204155,033,FSC_bio,4,16.0,151,0.10596026490066225,ok
260318-204155,033,Mouse-bias_ego,4,16.0,151,0.10596026490066225,ok
260318-204155,033,Mouse-bias_allo_real,4,16.0,151,0.10596026490066225,ok
260318-204155,033,Mouse-bias_allo_latent,4,16.0,151,0.10596026490066225,ok
260318-204155,033,ConditionalClone_ego,4,16.0,151,0.10596026490066225,ok
260408-175657,044,Random,0,,72,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260408-175657,044,Random_forward,0,,72,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260408-175657,044,Greedy_oracle,0,,72,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260408-175657,044,FullFwd,0,12.0,72,0.16666666666666666,ok
260408-175657,044,NoBkFullFwd,0,12.0,72,0.16666666666666666,ok
260408-175657,044,FSC_bio,0,12.0,72,0.16666666666666666,ok
260408-175657,044,Mouse-bias_ego,0,11.0,72,0.1527777777777778,ok
260408-175657,044,Mouse-bias_allo_real,0,11.0,72,0.1527777777777778,ok
260408-175657,044,Mouse-bias_allo_latent,0,11.0,72,0.1527777777777778,ok
260408-175657,044,ConditionalClone_ego,0,10.0,72,0.1388888888888889,ok
260408-175657,044,Random,1,,72,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260408-175657,044,Random_forward,1,,72,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260408-175657,044,Greedy_oracle,1,,72,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260408-175657,044,FullFwd,1,12.0,72,0.16666666666666666,ok
260408-175657,044,NoBkFullFwd,1,12.0,72,0.16666666666666666,ok
260408-175657,044,FSC_bio,1,12.0,72,0.16666666666666666,ok
260408-175657,044,Mouse-bias_ego,1,8.0,72,0.1111111111111111,ok
260408-175657,044,Mouse-bias_allo_real,1,12.0,72,0.16666666666666666,ok
260408-175657,044,Mouse-bias_allo_latent,1,12.0,72,0.16666666666666666,ok
260408-175657,044,ConditionalClone_ego,1,11.0,72,0.1527777777777778,ok
260408-175657,044,Random,2,,72,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260408-175657,044,Random_forward,2,,72,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260408-175657,044,Greedy_oracle,2,,72,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260408-175657,044,FullFwd,2,12.0,72,0.16666666666666666,ok
260408-175657,044,NoBkFullFwd,2,12.0,72,0.16666666666666666,ok
260408-175657,044,FSC_bio,2,12.0,72,0.16666666666666666,ok
260408-175657,044,Mouse-bias_ego,2,10.0,72,0.1388888888888889,ok
260408-175657,044,Mouse-bias_allo_real,2,8.0,72,0.1111111111111111,ok
260408-175657,044,Mouse-bias_allo_latent,2,8.0,72,0.1111111111111111,ok
260408-175657,044,ConditionalClone_ego,2,10.0,72,0.1388888888888889,ok
260408-175657,044,Random,3,,72,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260408-175657,044,Random_forward,3,,72,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260408-175657,044,Greedy_oracle,3,,72,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260408-175657,044,FullFwd,3,9.0,72,0.125,ok
260408-175657,044,NoBkFullFwd,3,12.0,72,0.16666666666666666,ok
260408-175657,044,FSC_bio,3,12.0,72,0.16666666666666666,ok
260408-175657,044,Mouse-bias_ego,3,9.0,72,0.125,ok
260408-175657,044,Mouse-bias_allo_real,3,12.0,72,0.16666666666666666,ok
260408-175657,044,Mouse-bias_allo_latent,3,12.0,72,0.16666666666666666,ok
260408-175657,044,ConditionalClone_ego,3,7.0,72,0.09722222222222222,ok
260408-175657,044,Random,4,,72,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260408-175657,044,Random_forward,4,,72,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260408-175657,044,Greedy_oracle,4,,72,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260408-175657,044,FullFwd,4,9.0,72,0.125,ok
260408-175657,044,NoBkFullFwd,4,12.0,72,0.16666666666666666,ok
260408-175657,044,FSC_bio,4,12.0,72,0.16666666666666666,ok
260408-175657,044,Mouse-bias_ego,4,9.0,72,0.125,ok
260408-175657,044,Mouse-bias_allo_real,4,12.0,72,0.16666666666666666,ok
260408-175657,044,Mouse-bias_allo_latent,4,12.0,72,0.16666666666666666,ok
